case_id,scenario_type,respondent_profile,sensitivity_level,context_summary,communication_goals,risk_flags,recommended_norms,created_at
0fbf124a,public_service_complaint,confused,low,The respondent submitted a formal complaint about the housing service received during a assessment. This structured conversation seeks to clarify facts and explore resolution options.,Gather any supporting details; Clarify what the respondent experienced; Identify desired resolution,systemic_distrust; emotional_distress,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.228791+00:00
867602d6,workplace_incident_review,anxious,high,A report has been filed regarding a disputed incident in the reception department on the third of last month. The respondent was present and is described as a junior analyst.,Identify all persons present; Establish a clear timeline of events; Understand the respondent's direct observations,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228815+00:00
42e73db9,workplace_incident_review,cooperative,high,The respondent is a team coordinator who submitted an internal report about a documented situation occurring near the administration area. This conversation aims to gather a factual account.,Establish a clear timeline of events; Understand the respondent's direct observations; Clarify any actions taken at the time,blame_attribution; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228838+00:00
3cddf4a9,witness_recall,cooperative,critical,"Following a ambiguous incident at logistics, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Clarify the sequence and timing of events; Avoid suggestive or leading language",memory_suggestibility; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228861+00:00
40aa51f2,witness_recall,resistant,medium,"Following a unexpected incident at logistics, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Identify what was directly observed versus inferred; Avoid suggestive or leading language; Elicit a free, uncontaminated account",memory_suggestibility; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228888+00:00
99743b34,workplace_incident_review,cooperative,medium,"Following a ambiguous workplace event involving four team members, a review conversation is being conducted with a field representative who witnessed part of the incident.",Establish a clear timeline of events; Understand the respondent's direct observations; Identify all persons present,hierarchy_pressure; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228911+00:00
3a0274a5,workplace_incident_review,resistant,medium,The respondent is a case officer who submitted an internal report about a ambiguous situation occurring near the logistics area. This conversation aims to gather a factual account.,Understand the respondent's direct observations; Clarify any actions taken at the time; Establish a clear timeline of events,hierarchy_pressure; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228933+00:00
696ad5d8,workplace_incident_review,resistant,high,A report has been filed regarding a ambiguous incident in the logistics department on last Friday. The respondent was present and is described as a field representative.,Identify all persons present; Establish a clear timeline of events; Clarify any actions taken at the time,retaliation_fear; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228960+00:00
365d527a,clinical_intake,confused,high,This is an initial information-gathering session with a new client. The respondent has indicated recent significant disruption and may require case management services. Sensitivity is required throughout.,Assess current level of functioning; Understand the presenting concern; Build rapport and establish trust,disclosure_hesitancy; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.228983+00:00
e06442e1,clinical_intake,resistant,high,This is an initial information-gathering session with a new client. The respondent has indicated difficulty managing ongoing responsibilities and may require financial counselling services. Sensitivity is required throughout.,Understand the presenting concern; Identify any immediate support needs; Assess current level of functioning,emotional_fragility; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229006+00:00
eb385955,clinical_intake,confused,high,This is an initial information-gathering session with a new client. The respondent has indicated difficulty managing ongoing responsibilities and may require employment services. Sensitivity is required throughout.,Understand the presenting concern; Build rapport and establish trust; Assess current level of functioning,emotional_fragility; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229032+00:00
49f6c317,workplace_incident_review,trauma_sensitive,high,The respondent is a junior analyst who submitted an internal report about a ambiguous situation occurring near the field area. This conversation aims to gather a factual account.,Clarify any actions taken at the time; Understand the respondent's direct observations; Establish a clear timeline of events,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229054+00:00
40278aa9,compliance_interview,fatigued,medium,A data handling audit has flagged a potential process deviation in the logistics team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Identify any deviations and the rationale behind them; Document explanations accurately; Verify the respondent's understanding of relevant procedures,authority_anxiety; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229077+00:00
886cf828,workplace_incident_review,anxious,high,A report has been filed regarding a documented incident in the logistics department on last Friday. The respondent was present and is described as a team coordinator.,Identify all persons present; Understand the respondent's direct observations; Clarify any actions taken at the time,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229099+00:00
eadadd84,public_service_complaint,anxious,low,A citizen has contacted the housing office to report a documented experience with a recent assessment. The conversation aims to document the complaint and understand the impact.,Gather any supporting details; Identify desired resolution; Clarify what the respondent experienced,emotional_distress; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229124+00:00
b6437514,witness_recall,confused,medium,"Following a disputed incident at reception, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Identify what was directly observed versus inferred; Elicit a free, uncontaminated account; Clarify the sequence and timing of events",confabulation_risk; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229149+00:00
7438902e,witness_recall,cooperative,medium,The respondent is a field representative who was present during a concerning event at the storage. This recall conversation aims to elicit an uncontaminated account of what was observed.,"Avoid suggestive or leading language; Elicit a free, uncontaminated account; Identify what was directly observed versus inferred",confabulation_risk; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229171+00:00
d06ce27e,witness_recall,trauma_sensitive,medium,"Following a disputed incident at operations, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.",Clarify the sequence and timing of events; Avoid suggestive or leading language; Identify what was directly observed versus inferred,confabulation_risk; memory_suggestibility,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229197+00:00
cda9d2ba,compliance_interview,resistant,high,"As part of a routine compliance review, a structured conversation is being held with a case officer in the storage unit. The aim is to verify understanding of relevant procedures.",Identify any deviations and the rationale behind them; Assess procedural knowledge; Verify the respondent's understanding of relevant procedures,self_incrimination_concern; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229220+00:00
7e5d63e2,compliance_interview,resistant,medium,A data handling audit has flagged a potential process deviation in the reception team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Document explanations accurately; Verify the respondent's understanding of relevant procedures; Assess procedural knowledge,procedural_misunderstanding; self_incrimination_concern,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229243+00:00
5281af15,workplace_incident_review,anxious,medium,A report has been filed regarding a sensitive incident in the logistics department on last Friday. The respondent was present and is described as a support worker.,Understand the respondent's direct observations; Establish a clear timeline of events; Clarify any actions taken at the time,retaliation_fear; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229268+00:00
b61c418c,workplace_incident_review,fatigued,medium,"Following a sensitive workplace event involving three team members, a review conversation is being conducted with a senior technician who witnessed part of the incident.",Establish a clear timeline of events; Identify all persons present; Understand the respondent's direct observations,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229291+00:00
1b5285fe,workplace_incident_review,fatigued,high,A report has been filed regarding a documented incident in the storage department on the third of last month. The respondent was present and is described as a team coordinator.,Clarify any actions taken at the time; Identify all persons present; Understand the respondent's direct observations,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229313+00:00
645229e7,clinical_intake,anxious,high,This is an initial information-gathering session with a new client. The respondent has indicated uncertainty about next steps and may require crisis services. Sensitivity is required throughout.,Assess current level of functioning; Identify any immediate support needs; Build rapport and establish trust,emotional_fragility; disclosure_hesitancy,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229340+00:00
240a8c49,witness_recall,trauma_sensitive,critical,The respondent is a support worker who was present during a sensitive event at the logistics. This recall conversation aims to elicit an uncontaminated account of what was observed.,"Elicit a free, uncontaminated account; Avoid suggestive or leading language; Clarify the sequence and timing of events",memory_suggestibility; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229363+00:00
657f67f6,public_service_complaint,resistant,medium,The respondent submitted a formal complaint about the licensing service received during a renewal. This structured conversation seeks to clarify facts and explore resolution options.,Document the nature and impact of the complaint; Identify desired resolution; Gather any supporting details,emotional_distress; systemic_distrust,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229385+00:00
f2b6d767,witness_recall,trauma_sensitive,medium,The respondent is a junior analyst who was present during a concerning event at the field. This recall conversation aims to elicit an uncontaminated account of what was observed.,"Identify what was directly observed versus inferred; Elicit a free, uncontaminated account; Avoid suggestive or leading language",confabulation_risk; memory_suggestibility,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229409+00:00
26a27ea1,workplace_incident_review,fatigued,high,The respondent is a team coordinator who submitted an internal report about a concerning situation occurring near the field area. This conversation aims to gather a factual account.,Identify all persons present; Establish a clear timeline of events; Clarify any actions taken at the time,hierarchy_pressure; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229430+00:00
55f40f80,workplace_incident_review,confused,high,A report has been filed regarding a sensitive incident in the field department on Tuesday morning. The respondent was present and is described as a support worker.,Identify all persons present; Understand the respondent's direct observations; Clarify any actions taken at the time,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229452+00:00
ce4eb793,clinical_intake,fatigued,critical,This is an initial information-gathering session with a new client. The respondent has indicated stress related to a recent life change and may require financial counselling services. Sensitivity is required throughout.,Assess current level of functioning; Build rapport and establish trust; Understand the presenting concern,disclosure_hesitancy; trauma_history,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229475+00:00
5494af27,compliance_interview,confused,high,A safety audit has flagged a potential process deviation in the logistics team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Assess procedural knowledge; Verify the respondent's understanding of relevant procedures; Document explanations accurately,procedural_misunderstanding; self_incrimination_concern,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229500+00:00
752a120e,clinical_intake,anxious,high,A structured intake conversation is being conducted with an individual who has requested crisis support. The respondent reports uncertainty about next steps as a primary concern.,Identify any immediate support needs; Assess current level of functioning; Understand the presenting concern,trauma_history; disclosure_hesitancy,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229530+00:00
5dd4cbf2,clinical_intake,fatigued,critical,A structured intake conversation is being conducted with an individual who has requested employment support. The respondent reports stress related to a recent life change as a primary concern.,Identify any immediate support needs; Assess current level of functioning; Understand the presenting concern,stigma_concern; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229553+00:00
609ebba1,compliance_interview,cooperative,high,A safety audit has flagged a potential process deviation in the reception team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Verify the respondent's understanding of relevant procedures; Identify any deviations and the rationale behind them; Assess procedural knowledge,authority_anxiety; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229575+00:00
753ac921,clinical_intake,cooperative,critical,A structured intake conversation is being conducted with an individual who has requested employment support. The respondent reports uncertainty about next steps as a primary concern.,Identify any immediate support needs; Understand the presenting concern; Build rapport and establish trust,emotional_fragility; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229597+00:00
b5d6de84,public_service_complaint,resistant,medium,The respondent submitted a formal complaint about the licensing service received during a assessment. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Document the nature and impact of the complaint; Gather any supporting details,systemic_distrust; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229622+00:00
e7665c8f,compliance_interview,trauma_sensitive,high,A quality assurance audit has flagged a potential process deviation in the records team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Verify the respondent's understanding of relevant procedures; Identify any deviations and the rationale behind them; Document explanations accurately,authority_anxiety; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229649+00:00
26aa4f66,workplace_incident_review,resistant,high,The respondent is a support worker who submitted an internal report about a sensitive situation occurring near the field area. This conversation aims to gather a factual account.,Clarify any actions taken at the time; Identify all persons present; Establish a clear timeline of events,blame_attribution; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229671+00:00
5a7eeb6d,witness_recall,confused,medium,"Following a unexpected incident at reception, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Clarify the sequence and timing of events; Avoid suggestive or leading language",trauma_proximity; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229698+00:00
c137fb04,workplace_incident_review,trauma_sensitive,medium,"Following a documented workplace event involving several team members, a review conversation is being conducted with a team coordinator who witnessed part of the incident.",Clarify any actions taken at the time; Identify all persons present; Understand the respondent's direct observations,blame_attribution; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229720+00:00
45f56d7a,witness_recall,cooperative,medium,"Following a concerning incident at field, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Clarify the sequence and timing of events; Avoid suggestive or leading language",confabulation_risk; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.229744+00:00
5ccbe051,clinical_intake,confused,high,A structured intake conversation is being conducted with an individual who has requested wellbeing support. The respondent reports challenges with daily functioning as a primary concern.,Identify any immediate support needs; Build rapport and establish trust; Understand the presenting concern,disclosure_hesitancy; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229766+00:00
c6e05dca,clinical_intake,confused,critical,A structured intake conversation is being conducted with an individual who has requested financial counselling support. The respondent reports challenges with daily functioning as a primary concern.,Build rapport and establish trust; Assess current level of functioning; Identify any immediate support needs,disclosure_hesitancy; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229790+00:00
97b58c5c,compliance_interview,cooperative,medium,A data handling audit has flagged a potential process deviation in the reception team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Assess procedural knowledge; Identify any deviations and the rationale behind them; Verify the respondent's understanding of relevant procedures,procedural_misunderstanding; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.229813+00:00
c6a2b316,public_service_complaint,trauma_sensitive,low,The respondent submitted a formal complaint about the environmental service received during a application process. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Document the nature and impact of the complaint; Gather any supporting details,emotional_distress; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229836+00:00
40985611,public_service_complaint,anxious,low,The respondent submitted a formal complaint about the transport service received during a inspection. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Document the nature and impact of the complaint; Gather any supporting details,past_negative_experience; emotional_distress,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229864+00:00
043178f0,workplace_incident_review,confused,medium,"Following a sensitive workplace event involving four team members, a review conversation is being conducted with a junior analyst who witnessed part of the incident.",Establish a clear timeline of events; Understand the respondent's direct observations; Identify all persons present,blame_attribution; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229887+00:00
25899f45,workplace_incident_review,trauma_sensitive,high,The respondent is a team coordinator who submitted an internal report about a ambiguous situation occurring near the field area. This conversation aims to gather a factual account.,Identify all persons present; Understand the respondent's direct observations; Establish a clear timeline of events,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.229908+00:00
df56a016,clinical_intake,trauma_sensitive,critical,A structured intake conversation is being conducted with an individual who has requested financial counselling support. The respondent reports difficulty managing ongoing responsibilities as a primary concern.,Assess current level of functioning; Identify any immediate support needs; Understand the presenting concern,emotional_fragility; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229931+00:00
d46176ed,clinical_intake,cooperative,critical,This is an initial information-gathering session with a new client. The respondent has indicated stress related to a recent life change and may require wellbeing services. Sensitivity is required throughout.,Assess current level of functioning; Build rapport and establish trust; Understand the presenting concern,trauma_history; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.229954+00:00
6a658390,public_service_complaint,fatigued,low,A citizen has contacted the licensing office to report a ambiguous experience with a recent appointment. The conversation aims to document the complaint and understand the impact.,Document the nature and impact of the complaint; Identify desired resolution; Gather any supporting details,systemic_distrust; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.229978+00:00
36a8cc1f,clinical_intake,anxious,critical,A structured intake conversation is being conducted with an individual who has requested wellbeing support. The respondent reports recent significant disruption as a primary concern.,Understand the presenting concern; Assess current level of functioning; Identify any immediate support needs,trauma_history; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.230000+00:00
9a22286e,witness_recall,resistant,critical,The respondent is a senior technician who was present during a unexpected event at the storage. This recall conversation aims to elicit an uncontaminated account of what was observed.,"Elicit a free, uncontaminated account; Avoid suggestive or leading language; Clarify the sequence and timing of events",trauma_proximity; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230023+00:00
4a2dfe35,compliance_interview,fatigued,high,A procurement audit has flagged a potential process deviation in the administration team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Assess procedural knowledge; Identify any deviations and the rationale behind them; Document explanations accurately,authority_anxiety; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230048+00:00
1bb8a9fe,workplace_incident_review,resistant,high,"Following a complex workplace event involving several team members, a review conversation is being conducted with a support worker who witnessed part of the incident.",Understand the respondent's direct observations; Establish a clear timeline of events; Clarify any actions taken at the time,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230070+00:00
16c4ac46,workplace_incident_review,confused,high,The respondent is a junior analyst who submitted an internal report about a documented situation occurring near the storage area. This conversation aims to gather a factual account.,Clarify any actions taken at the time; Establish a clear timeline of events; Understand the respondent's direct observations,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230096+00:00
62aa2eda,workplace_incident_review,resistant,medium,"Following a documented workplace event involving two team members, a review conversation is being conducted with a case officer who witnessed part of the incident.",Understand the respondent's direct observations; Identify all persons present; Establish a clear timeline of events,retaliation_fear; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230119+00:00
8a56d578,witness_recall,trauma_sensitive,critical,The respondent is a team coordinator who was present during a concerning event at the field. This recall conversation aims to elicit an uncontaminated account of what was observed.,Identify what was directly observed versus inferred; Avoid suggestive or leading language; Clarify the sequence and timing of events,trauma_proximity; memory_suggestibility,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230141+00:00
20d848ee,workplace_incident_review,anxious,medium,The respondent is a junior analyst who submitted an internal report about a unexpected situation occurring near the field area. This conversation aims to gather a factual account.,Understand the respondent's direct observations; Establish a clear timeline of events; Clarify any actions taken at the time,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230162+00:00
9525a04b,workplace_incident_review,resistant,high,The respondent is a support worker who submitted an internal report about a complex situation occurring near the reception area. This conversation aims to gather a factual account.,Identify all persons present; Clarify any actions taken at the time; Understand the respondent's direct observations,hierarchy_pressure; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230183+00:00
6792689e,workplace_incident_review,confused,high,A report has been filed regarding a concerning incident in the storage department on a recent shift. The respondent was present and is described as a field representative.,Clarify any actions taken at the time; Establish a clear timeline of events; Identify all persons present,retaliation_fear; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230207+00:00
d4f282ff,witness_recall,confused,critical,"Following a ambiguous incident at operations, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Avoid suggestive or leading language; Clarify the sequence and timing of events",trauma_proximity; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230230+00:00
b869ae12,witness_recall,cooperative,critical,"Following a complex incident at reception, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Identify what was directly observed versus inferred; Clarify the sequence and timing of events; Elicit a free, uncontaminated account",memory_suggestibility; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230256+00:00
adce897c,public_service_complaint,resistant,low,A citizen has contacted the transport office to report a sensitive experience with a recent assessment. The conversation aims to document the complaint and understand the impact.,Identify desired resolution; Document the nature and impact of the complaint; Clarify what the respondent experienced,systemic_distrust; emotional_distress,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230279+00:00
3118585b,compliance_interview,trauma_sensitive,high,A compliance audit has flagged a potential process deviation in the operations team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Document explanations accurately; Verify the respondent's understanding of relevant procedures; Assess procedural knowledge,procedural_misunderstanding; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230302+00:00
43e580ca,compliance_interview,fatigued,medium,A compliance audit has flagged a potential process deviation in the administration team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Verify the respondent's understanding of relevant procedures; Document explanations accurately; Assess procedural knowledge,self_incrimination_concern; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230326+00:00
7221f374,compliance_interview,confused,medium,A compliance audit has flagged a potential process deviation in the reception team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Verify the respondent's understanding of relevant procedures; Document explanations accurately; Identify any deviations and the rationale behind them,authority_anxiety; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230347+00:00
3938d5c4,witness_recall,anxious,critical,The respondent is a junior analyst who was present during a sensitive event at the field. This recall conversation aims to elicit an uncontaminated account of what was observed.,Avoid suggestive or leading language; Identify what was directly observed versus inferred; Clarify the sequence and timing of events,memory_suggestibility; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230373+00:00
0045d87b,compliance_interview,fatigued,high,"As part of a routine quality assurance review, a structured conversation is being held with a support worker in the reception unit. The aim is to verify understanding of relevant procedures.",Document explanations accurately; Verify the respondent's understanding of relevant procedures; Assess procedural knowledge,procedural_misunderstanding; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230395+00:00
b3b51e72,witness_recall,anxious,critical,The respondent is a support worker who was present during a concerning event at the logistics. This recall conversation aims to elicit an uncontaminated account of what was observed.,"Avoid suggestive or leading language; Elicit a free, uncontaminated account; Identify what was directly observed versus inferred",confabulation_risk; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230420+00:00
